company,category,claim,page,confidence_score,risk_level,risk_reason,analyst_note,specificity_score,measurability_score,evidence_strength,consistency_flag,review_priority,consistency_reason
ASEH,emissions,2030 Key Decarbonization 2030 Low-Carbon Transport Goals Achieve >50% revenue coverage 2030 Renewable Energy (RE) Targets Invested in over 2 forest management,118,0.95,Medium,"Specific claim, but missing external validation.","Useful claim with measurable KPI, target year, clear action language; review missing external validation.",3,2,1,Moderate,Medium Review Priority,"specificity=3, measurability=2, evidence=1; has measurable KPI, target or reporting year, quantitative value; missing standard or validation reference, implementation detail."
ASEH,renewable_energy,"the baseline, our goal is to increase the renewable energy share by 3% annually, reaching RE25 by 2025, RE72 by 2040, and RE100 by 2050.",116,0.84,Low,"Specific metric, target year, and evidence or validation are present.","Strong shortlist claim: measurable KPI, target year, clear action language, validation signal.",3,3,2,Strong,Low Review Priority,"specificity=3, measurability=3, evidence=2; has measurable KPI, target or reporting year, quantitative value, standard or validation reference; missing implementation detail."
ASEH,emissions,to achieve a 20% reduction in greenhouse gas emissions by 2035.,203,0.85,Medium,"Specific claim, but missing external validation.","Useful claim with measurable KPI, target year, clear action language; review missing external validation.",3,2,1,Moderate,Medium Review Priority,"specificity=3, measurability=2, evidence=1; has measurable KPI, target or reporting year, quantitative value; missing standard or validation reference, implementation detail."
TSMC,emissions,declaring the target of net zero 100% in 2040,109,0.84,Medium,"Specific claim, but missing external validation.","Useful claim with measurable KPI, target year, clear action language; review missing external validation.",3,2,1,Moderate,Medium Review Priority,"specificity=3, measurability=2, evidence=1; has measurable KPI, target or reporting year, quantitative value; missing standard or validation reference, implementation detail."
ASEH,emissions,90% or more by 2050 are allowed to use carbon removal or storage technologies to offset residual emissions that cannot be eliminated.,116,0.83,Medium,"Specific claim, but missing external validation.","Useful claim with measurable KPI, target year, clear action language; review missing external validation.",3,2,1,Moderate,Medium Review Priority,"specificity=3, measurability=2, evidence=1; has measurable KPI, target or reporting year, quantitative value; missing standard or validation reference, implementation detail."
ASEH,emissions,Achieve 100% GHG inventory Company cars: 50% footprint assessments by 2030 Overall RE usage ≥ 42%,118,0.83,Medium,"Specific claim, but missing external validation.","Useful claim with measurable KPI, target year, clear action language; review missing external validation.",3,2,2,Moderate,Medium Review Priority,"specificity=3, measurability=2, evidence=2; has measurable KPI, target or reporting year, quantitative value, implementation detail; missing standard or validation reference."
TSMC,emissions,available technology ton of carbon dioxide equivalent equivalent wafer mask layer) by 10% (Base Target: 10% (Base year: 2020),108,0.83,Medium,"Specific claim, but missing external validation.","Useful claim with measurable KPI, target year, clear action language; review missing external validation.",3,2,1,Moderate,Medium Review Priority,"specificity=3, measurability=2, evidence=1; has measurable KPI, target or reporting year, quantitative value; missing standard or validation reference, implementation detail."
ASEH,emissions,"In line with the concept of “implicit price,” each ASEH facility sets its own internal carbon prices (expressed in 43 USD/tCOe). trucks: The goal is to achieve 100% by 2040 and 2045.",119,0.82,Medium,"Specific claim, but missing external validation.","Useful claim with measurable KPI, target year, clear action language; review missing external validation.",3,2,1,Moderate,Medium Review Priority,"specificity=3, measurability=2, evidence=1; has measurable KPI, target or reporting year, quantitative value; missing standard or validation reference, implementation detail."
TSMC,renewable_energy,to achieve target of 100% renewable energy TSMC's power consumption,108,0.9,Medium,"Specific claim, but missing target year.","Useful claim with measurable KPI, clear action language; review missing target year, external validation.",2,2,1,Weak,High Review Priority,"specificity=2, measurability=2, evidence=1; has measurable KPI, quantitative value; missing target or reporting year, standard or validation reference, implementation detail."
TSMC,emissions,High-energy-consumption suppliers that have received ISO14064 certification for GHG emissions (%) (Base year: 2021) 65% 84% 90%,266,0.83,Low,"Specific metric, target year, and evidence or validation are present.","Strong shortlist claim: measurable KPI, target year, validation signal.",3,3,2,Strong,Low Review Priority,"specificity=3, measurability=3, evidence=2; has measurable KPI, target or reporting year, quantitative value, standard or validation reference; missing implementation detail."
ASEH,supply_chain,"In Taiwan, 14 of our facilities have achieved Green Factory Certification. introduced a 10% sustainability performance metric into our supplier",12,0.89,Medium,"Specific claim, but missing target year.","Useful claim with measurable KPI, clear action language; review missing target year, external validation.",2,2,2,Moderate,Medium Review Priority,"specificity=2, measurability=2, evidence=2; has measurable KPI, quantitative value, implementation detail; missing target or reporting year, standard or validation reference."
ASEH,renewable_energy,"In 2024, renewable energy accounted for 19% of our total electricity",34,0.85,Medium,"Specific claim, but missing external validation.","Useful claim with measurable KPI, target year; review missing external validation.",3,2,1,Moderate,Medium Review Priority,"specificity=3, measurability=2, evidence=1; has measurable KPI, target or reporting year, quantitative value; missing standard or validation reference, implementation detail."
ASEH,supply_chain,"To further encourage suppliers to adopt sustainable practices, ESG performance will constitute 10% of the supplier evaluation criteria, alongside",5,0.85,Medium,"Specific claim, but missing target year, external validation.","Useful claim with measurable KPI, clear action language; review missing target year, external validation.",2,2,1,Weak,High Review Priority,"specificity=2, measurability=2, evidence=1; has measurable KPI, quantitative value, implementation detail; missing target or reporting year, standard or validation reference, broad aspirational wording."
TSMC,emissions,"energy solutions , and set 2025 as the baseline year for achieving Scope 1 to 3 absolute emission reduction implementation plan for the “IFRS Sustainability Disclosure",5,0.99,Medium,"Specific claim, but missing specific metric.","Useful claim with target year, clear action language; review missing metric, external validation.",2,1,2,Weak,High Review Priority,"specificity=2, measurability=1, evidence=2; has target or reporting year, quantitative value, implementation detail; missing measurable KPI, standard or validation reference."
