company,claim_type,claim,metric,current_value,target_value,target_year,scope,evidence,page,external_source,consistency_risk,notes
TSMC,emissions,"Set 2025 as the baseline year for Scope 1 to 3 absolute emission reduction targets under SBTi Corporate Net Zero Standards by 2035",Scope 1-3 absolute emissions reduction,2025 baseline,,2035,Scope 1/2/3,"TSMC says it set 2025 as the baseline year for achieving Scope 1 to 3 absolute emission reduction targets under the SBTi Corporate Net Zero Standards by 2035.",5,TSMC 2024 Sustainability Report,Medium,"Strong because it includes Scope 1-3 and SBTi framing, but needs follow-up: exact percentage reduction target is not in this snippet."
TSMC,renewable_energy,"Overseas sites used 100% renewable energy, accounting for 14.1% of TSMC power consumption",Renewable energy use,14.1% of total power consumption,100% renewable energy at overseas sites,2024,Overseas operations,"TSMC reports overseas sites used 100% renewable energy, accounting for 14.1% of TSMC's power consumption, exceeding its 13% target.",108,TSMC 2024 Sustainability Report,Low,"Specific, measurable, and compared against a target. Risk is lower, but Taiwan fabs remain the bigger energy challenge."
TSMC,supply_chain,"Launch GREEN Agreement and supplier carbon reduction programs with major emission contributors",Supplier carbon reduction,230000 tons verified annual reductions; NT$84 million funding; 450000 tons projected annual CO2 reduction,,2024,Supply chain / Scope 3,"TSMC reports 230,000 tons of annual supplier carbon reduction to date, NT$84 million allocated for supply chain carbon reduction projects, and a projected 450,000 tons of annual CO2 reduction.",103,TSMC 2024 Sustainability Report,Medium,"Good quantitative disclosure, but projected reductions need future verification. Important for Scope 3 credibility."
TSMC,supply_chain,"Supplier environmental data and carbon transparency programs expanded through CDP and supplier data platform",Supplier carbon disclosure,135 suppliers via CDP; 477 supplier factory datasets compiled,,2024,Supply chain / Scope 3,"TSMC says 135 suppliers disclosed carbon management progress through CDP and 477 supplier factory datasets were compiled via its Supplier Environmental Information Digital Platform.",103,TSMC 2024 Sustainability Report,Low-Medium,"Specific supplier disclosure numbers are strong. Need check whether suppliers are major enough to cover most procurement emissions."
TSMC,governance,"Adopted Double Materiality under ESRS and established IFRS Sustainability Disclosure Standards implementation plan",Sustainability governance / disclosure,,,,Governance,"TSMC says it adopted the Double Materiality principle set out by ESRS and established an implementation plan for IFRS Sustainability Disclosure Standards to reinforce ESG governance and internal controls.",5,TSMC 2024 Sustainability Report,Low-Medium,"Governance claim is credible and aligned with regulation, but implementation quality depends on future disclosures and assurance."
ASEH,emissions,"SBTi-validated near-term 2030 and long-term 2050 greenhouse gas reduction targets",SBTi targets,,Net zero by 2050,2050,Scope 1/2/3 likely, "ASEH says both its near-term 2030 and long-term 2050 reduction targets have been officially validated by SBTi.",4,ASEH 2024 Sustainability Report,Low-Medium,"Strong because SBTi validation adds credibility. Need verify exact target boundary and whether Scope 3 coverage is sufficient."
ASEH,renewable_energy,"19% of manufacturing facilities' energy consumption is sourced from renewables; 88% of facilities use renewable energy; 10 sites achieved RE100 certification",Renewable energy use,19% energy consumption from renewables; 88% facilities using renewable energy; 10 RE100 sites,,2024,Operations,"ASEH reports 19% of manufacturing facilities' energy consumption came from renewables, 88% of facilities used renewable energy, and 10 sites achieved RE100 certification.",11,ASEH 2024 Sustainability Report,Low-Medium,"Specific and measurable, but 19% energy consumption from renewables still leaves a large gap to full renewable transition."
ASEH,supply_chain,"Introduced 10% sustainability performance metric into supplier evaluation system",Supplier ESG evaluation,10% ESG weighting,,2024,Supply chain,"ASEH says ESG performance will constitute 10% of supplier evaluation criteria alongside quality, cost, and delivery.",5,ASEH 2024 Sustainability Report,Medium,"Good procurement integration, but 10% weighting may be too small if ESG conflicts with cost or delivery."
ASEH,supply_chain,"Low-Carbon Equipment Alliance with 19 key equipment suppliers targeting 20% energy reduction by 2030",Supplier equipment energy reduction,19 suppliers,20% energy reduction,2030,Supply chain / equipment,"ASEH says it partnered with 19 key equipment suppliers to co-develop energy-efficient machinery aimed at achieving a 20% energy reduction by 2030.",12,ASEH 2024 Sustainability Report,Medium,"Clear target and supplier count, but future-oriented; needs tracking against actual equipment energy savings."
ASEH,governance,"Established cross-functional task force for IFRS Sustainability Disclosure Standards and future sustainability-related financial disclosures",Sustainability disclosure governance,,Dedicated annual report chapter from 2027,2027,Governance,"ASEH says CFO and CSO were appointed to lead IFRS sustainability disclosure work, a cross-functional task force was established, and a dedicated sustainability-related financial disclosure chapter will be included from 2027.",5,ASEH 2024 Sustainability Report,Low-Medium,"Strong governance setup, but real credibility depends on quality of 2027 disclosures and internal control effectiveness."
