company,category,claim,page,confidence_score,risk_level,risk_reason
TSMC,emissions,"energy solutions , and set 2025 as the baseline year for achieving Scope 1 to 3 absolute emission reduction implementation plan for the “IFRS Sustainability Disclosure",5,0.99,Medium,"Specific claim, but missing specific metric."
TSMC,governance,long-term Water Stewardship goals and established as a key strategy for addressing climate change and reinforcing ESG governance structures and internal,5,0.73,High,Vague or aspirational claim without a measurable KPI.
TSMC,emissions,"Additionally, TSMC introduced its first carbon reduction subsidy program, specifically control mechanisms for realizing more efficient, data",5,0.73,High,Vague or aspirational claim without a measurable KPI.
TSMC,supply_chain,"Beginning in 2025, the Company will incorporate carbon reduction performance into its supplier selection criteria .",5,0.85,Medium,"Specific claim, but missing specific metric, external validation."
TSMC,emissions,"emissions—to sign the TSMC Greenhouse Gas Reduction, Emissions Elimination & Neutrality (GREEN) Agreement .",5,0.74,High,Vague or aspirational claim without a measurable KPI.
TSMC,governance,and to establish medium- and long-term strategies ● Executive Secretary: ESG Committee Chairperson ● Members: Management Representatives nominated by functional,21,0.73,High,Vague or aspirational claim without a measurable KPI.
TSMC,supply_chain,"Supply Chain Carbon Reduction Strategy ” and incorporated emissions management trends, and corporate best ● Introduced reclaimed water into 5nm and 3nm",24,0.74,High,Vague or aspirational claim without a measurable KPI.
TSMC,emissions,"strengthening transparency in sustainability disclosures implemented carbon reduction project audits, ● Launched a carbon reduction subsidy",24,0.73,High,Vague or aspirational claim without a measurable KPI.
TSMC,governance,"establish TSMC’s Dynamic and Double Materiality employees responsible for driving sustainability to collectively examine the interrelationships Development, and Innovation Management— led",25,0.75,High,Vague or aspirational claim without a measurable KPI.
TSMC,emissions,Percentage reduction in suppliers’ carbon emissionsNote 3 30% 4%,29,0.83,Medium,"Specific claim, but missing target year, external validation."
TSMC,renewable_energy,Climate and Energy 10% Percentage of renewable energy used at all TSMC operation sites 60% 13%,29,0.87,Medium,"Specific claim, but missing target year."
TSMC,supply_chain,management capabilities to achieve a suppliers in the Carbon Disclosure Project (CDP),33,0.74,Medium,"Specific claim, but missing specific metric, target year."
TSMC,supply_chain,"We firmly believe that carbon reduction is not ● Launched the Supply Chain Carbon Reduction Subsidy Program , allocating NT$84 million in its first year",33,0.83,High,Vague or aspirational claim without a measurable KPI.
TSMC,emissions,We are committed to prioritizing lower-carbon,33,0.73,High,Vague or aspirational claim without a measurable KPI.
TSMC,governance,"the leadership of the ESG Steering Committee, the Company established 22 sustainability initiatives and 62 long",41,0.85,High,Vague or aspirational claim without a measurable KPI.
TSMC,supply_chain,"are indispensable to the process and no substitutes are green management practices across the supply chain, of NMP in etching processes expected by 2025. certification for hazardous substance process",75,0.83,Medium,"Specific claim, but missing specific metric, external validation."
